Customer ID,SKU,Issue,Failure Component,Claim Date,Resolution,Repair Cost
CUST-87276,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Tegra X1 System Board,2022-05-24,Battery Replacement,69.39
CUST-94491,SKU-LG-OLED65-C3,Wireless Connectivity Loss,40W 2.2 Ch Speaker Array,2022-05-24,Refurbished Board Soldered,134.77
CUST-47345,SKU-APP-MBA-M2,Drifting Analog Stick,Liquid Retina Panel,2023-09-07,Component Cleaned & Re-calibrated,288.23
CUST-61347,SKU-APP-IP14P-256,Logic Board Power Failure,A16 Bionic Logic Board,2023-09-14,Component Cleaned & Re-calibrated,159.0
CUST-75481,SKU-DEL-XPS15-9530,Logic Board Power Failure,Intel i9-13900H Board,2023-01-31,Unit Replaced Under Warranty,96.59
CUST-27299,SKU-CAN-EOS-R6M2,Drifting Analog Stick,24.2MP CMOS Full-Frame Sensor,2023-01-05,Battery Replacement,500.37
CUST-71736,SKU-LG-OLED65-C3,Wireless Connectivity Loss,Magical Remote Sensor,2023-07-14,Refurbished Board Soldered,327.54
CUST-15220,SKU-APP-MBA-M2,Water Seal Compromise,M2 SoC Logic Board,2022-01-15,Battery Replacement,120.7
CUST-64451,SKU-APP-IP14P-256,Drifting Analog Stick,Titanium Frame,2023-10-06,Refurbished Board Soldered,212.42
CUST-30012,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,Power Supply Unit,2023-07-04,Claim Rejected - User Damage,263.18
CUST-30365,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,Intel i9-13900H Board,2023-06-08,Battery Replacement,609.79
CUST-95175,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,AquaStop Safety Valve,2023-10-12,Component Cleaned & Re-calibrated,198.25
CUST-21300,SKU-APP-MBA-M2,Wireless Connectivity Loss,52.6Wh Battery,2022-09-02,Claim Rejected - User Damage,46.14
CUST-97304,SKU-LG-OLED65-C3,Physical Port Corruption,65-inch Self-lit OLED Panel,2023-09-16,Component Cleaned & Re-calibrated,49.38
CUST-31473,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,Dynamic AMOLED 2X Screen,2022-05-21,Claim Rejected - User Damage,192.66
CUST-26637,SKU-NIN-SWITCH-OLED,Drifting Analog Stick,Joy-Con Rail Controls,2022-09-23,Component Cleaned & Re-calibrated,34.85
CUST-18371,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,Intel i9-13900H Board,2023-03-16,Refurbished Board Soldered,197.71
CUST-17266,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,Carbon Fiber Palmrest,2023-04-12,Unit Replaced Under Warranty,349.35
CUST-23487,SKU-NIN-SWITCH-OLED,Thermal Throttling / Overheating,Docking Station Mainboard,2022-06-11,Refurbished Board Soldered,40.05
CUST-11610,SKU-CAN-EOS-R6M2,Logic Board Power Failure,24.2MP CMOS Full-Frame Sensor,2023-06-06,Claim Rejected - User Damage,26.31
CUST-33456,SKU-SON-WH1000-M5,Physical Port Corruption,30mm Driver Units,2023-01-28,Refurbished Board Soldered,62.73
CUST-51934,SKU-APP-IP14P-256,Wireless Connectivity Loss,Triple Camera Module,2022-11-26,Screen Assembly Swapped,90.29
CUST-16903,SKU-DEL-XPS15-9530,Water Seal Compromise,Intel i9-13900H Board,2022-05-03,Refurbished Board Soldered,343.8
CUST-70960,SKU-SAM-GS23U-512,Drifting Analog Stick,Snapdragon 8 Gen 2 Board,2023-02-15,Battery Replacement,41.47
CUST-58354,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,4K OLED Touch Display,2023-07-21,Battery Replacement,315.03
CUST-58270,SKU-SON-WH1000-M5,Water Seal Compromise,Soft Fit Leather Earpads,2023-09-30,Refurbished Board Soldered,34.95
CUST-42129,SKU-CAN-EOS-R6M2,Logic Board Power Failure,EVF Display Module,2023-07-14,Claim Rejected - User Damage,412.09
CUST-93354,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Dynamic AMOLED 2X Screen,2022-08-27,Battery Replacement,154.43
CUST-50306,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,A16 Bionic Logic Board,2023-01-21,Claim Rejected - User Damage,248.29
CUST-17850,SKU-APP-MBA-M2,Drifting Analog Stick,Liquid Retina Panel,2023-03-06,Screen Assembly Swapped,204.59
CUST-78125,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,5000mAh Battery,2022-08-26,Battery Replacement,239.45
CUST-76247,SKU-LG-OLED65-C3,Physical Port Corruption,40W 2.2 Ch Speaker Array,2022-03-28,Claim Rejected - User Damage,282.28
CUST-96827,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,S-Pen Digitizer,2023-08-05,Component Cleaned & Re-calibrated,39.89
CUST-61505,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Snapdragon 8 Gen 2 Board,2022-11-19,Refurbished Board Soldered,246.32
CUST-36569,SKU-DYS-V15-DETECT,Physical Port Corruption,HEPA Filtration Cylinder,2022-08-28,Refurbished Board Soldered,32.54
CUST-71086,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,200MP Camera Sensor,2022-04-19,Screen Assembly Swapped,64.29
CUST-37215,SKU-DYS-V15-DETECT,Screen Flicker / Dead Pixels,7-cell Click-in Battery,2023-01-02,Component Cleaned & Re-calibrated,122.43
CUST-99922,SKU-NIN-SWITCH-OLED,Physical Port Corruption,Joy-Con Rail Controls,2022-05-03,Refurbished Board Soldered,30.33
CUST-42534,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,Carbon Fiber Palmrest,2022-12-02,Screen Assembly Swapped,119.19
CUST-32789,SKU-DYS-V15-DETECT,Drifting Analog Stick,7-cell Click-in Battery,2023-11-25,Battery Replacement,55.18
CUST-70560,SKU-APP-IP14P-256,Physical Port Corruption,Titanium Frame,2023-07-18,Component Cleaned & Re-calibrated,90.71
CUST-39135,SKU-APP-MBA-M2,Screen Flicker / Dead Pixels,Liquid Retina Panel,2022-03-05,Battery Replacement,328.09
CUST-94500,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Snapdragon 8 Gen 2 Board,2023-12-04,Refurbished Board Soldered,175.64
CUST-18450,SKU-APP-MBA-M2,Water Seal Compromise,MagSafe 3 Connector,2022-03-18,Refurbished Board Soldered,32.96
CUST-70423,SKU-SON-WH1000-M5,Thermal Throttling / Overheating,30-hour Battery,2022-12-06,Battery Replacement,30.02
CUST-60165,SKU-APP-IP14P-256,Water Seal Compromise,OLED Display Assembly,2023-02-09,Unit Replaced Under Warranty,155.48
CUST-68459,SKU-LG-OLED65-C3,Camera Sensor Artifacts,alpha9 AI Processor Gen6 Board,2022-07-11,Screen Assembly Swapped,146.82
CUST-48680,SKU-SAM-GS23U-512,Water Seal Compromise,Dynamic AMOLED 2X Screen,2023-09-24,Component Cleaned & Re-calibrated,83.74
CUST-60202,SKU-NIN-SWITCH-OLED,Drifting Analog Stick,4310mAh Battery,2022-03-04,Unit Replaced Under Warranty,30.18
CUST-81258,SKU-SAM-GS23U-512,Logic Board Power Failure,S-Pen Digitizer,2023-06-23,Claim Rejected - User Damage,84.55
CUST-55093,SKU-APP-IP14P-256,Camera Sensor Artifacts,Titanium Frame,2023-07-12,Unit Replaced Under Warranty,230.52
CUST-51795,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,Magnesium Alloy Frame,2022-10-04,Unit Replaced Under Warranty,116.53
CUST-71824,SKU-CAN-EOS-R6M2,Battery Drain / Rapid Discharge,DIGIC X Image Processor Board,2022-03-01,Refurbished Board Soldered,436.6
CUST-96096,SKU-BOS-WASH-SER8,Water Seal Compromise,AquaStop Safety Valve,2022-06-13,Screen Assembly Swapped,47.73
CUST-38758,SKU-SON-WH1000-M5,Drifting Analog Stick,Soft Fit Leather Earpads,2022-02-27,Claim Rejected - User Damage,56.33
CUST-51681,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,EVF Display Module,2022-06-30,Screen Assembly Swapped,145.4
CUST-84403,SKU-DYS-V15-DETECT,Battery Drain / Rapid Discharge,Cyclonic Dust Bin,2023-12-19,Claim Rejected - User Damage,60.52
CUST-33010,SKU-CAN-EOS-R6M2,Water Seal Compromise,DIGIC X Image Processor Board,2023-05-20,Screen Assembly Swapped,300.94
CUST-12612,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,7-inch OLED Display,2022-08-27,Battery Replacement,60.5
CUST-27103,SKU-BOS-WASH-SER8,Battery Drain / Rapid Discharge,Digital Touch Control Board,2023-09-21,Refurbished Board Soldered,70.73
CUST-28566,SKU-DYS-V15-DETECT,Camera Sensor Artifacts,Laser Slim Fluffy Cleaner Head,2022-01-23,Battery Replacement,39.92
CUST-96787,SKU-APP-MBA-M2,Camera Sensor Artifacts,MagSafe 3 Connector,2023-01-18,Battery Replacement,282.16
CUST-30644,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,Magical Remote Sensor,2022-11-06,Refurbished Board Soldered,167.91
CUST-90440,SKU-LG-OLED65-C3,Camera Sensor Artifacts,Power Supply Unit,2023-12-26,Screen Assembly Swapped,454.15
CUST-48602,SKU-DYS-V15-DETECT,Water Seal Compromise,Laser Slim Fluffy Cleaner Head,2023-01-23,Screen Assembly Swapped,55.99
CUST-84381,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,Snapdragon 8 Gen 2 Board,2023-08-10,Claim Rejected - User Damage,118.59
CUST-84127,SKU-APP-IP14P-256,Water Seal Compromise,OLED Display Assembly,2023-09-19,Refurbished Board Soldered,83.1
CUST-51879,SKU-APP-MBA-M2,Thermal Throttling / Overheating,Magic Keyboard,2022-03-21,Refurbished Board Soldered,111.87
CUST-42707,SKU-SAM-GS23U-512,Camera Sensor Artifacts,Dynamic AMOLED 2X Screen,2022-01-12,Unit Replaced Under Warranty,88.39
CUST-67438,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,52.6Wh Battery,2022-01-02,Battery Replacement,42.57
CUST-59197,SKU-LG-OLED65-C3,Wireless Connectivity Loss,alpha9 AI Processor Gen6 Board,2023-01-23,Unit Replaced Under Warranty,180.6
CUST-69151,SKU-APP-MBA-M2,Water Seal Compromise,Magic Keyboard,2023-12-05,Claim Rejected - User Damage,107.34
CUST-23726,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,M2 SoC Logic Board,2022-11-23,Battery Replacement,120.31
CUST-81702,SKU-APP-MBA-M2,Thermal Throttling / Overheating,52.6Wh Battery,2022-06-14,Unit Replaced Under Warranty,292.17
CUST-66534,SKU-APP-MBA-M2,Water Seal Compromise,52.6Wh Battery,2023-05-10,Component Cleaned & Re-calibrated,282.14
CUST-36941,SKU-SAM-GS23U-512,Wireless Connectivity Loss,200MP Camera Sensor,2022-02-24,Screen Assembly Swapped,49.2
CUST-46899,SKU-SON-WH1000-M5,Drifting Analog Stick,30-hour Battery,2023-07-08,Claim Rejected - User Damage,35.88
CUST-74349,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,NVIDIA RTX 4070 GPU,2023-02-07,Battery Replacement,388.07
CUST-96772,SKU-SAM-GS23U-512,Camera Sensor Artifacts,Dynamic AMOLED 2X Screen,2023-03-14,Battery Replacement,45.94
CUST-93648,SKU-CAN-EOS-R6M2,Logic Board Power Failure,EVF Display Module,2022-01-27,Battery Replacement,130.34
CUST-71727,SKU-DEL-XPS15-9530,Physical Port Corruption,Intel i9-13900H Board,2022-11-12,Battery Replacement,523.4
CUST-58630,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Joy-Con Rail Controls,2023-07-12,Claim Rejected - User Damage,47.86
CUST-70956,SKU-LG-OLED65-C3,Thermal Throttling / Overheating,40W 2.2 Ch Speaker Array,2022-02-15,Unit Replaced Under Warranty,141.64
CUST-97486,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,NVIDIA RTX 4070 GPU,2022-03-05,Component Cleaned & Re-calibrated,120.97
CUST-87296,SKU-APP-MBA-M2,Camera Sensor Artifacts,M2 SoC Logic Board,2023-02-28,Component Cleaned & Re-calibrated,379.31
CUST-80190,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Integrated Microphone Array,2023-06-20,Unit Replaced Under Warranty,42.16
CUST-14551,SKU-NIN-SWITCH-OLED,Logic Board Power Failure,Docking Station Mainboard,2022-11-03,Unit Replaced Under Warranty,29.66
CUST-29326,SKU-BOS-WASH-SER8,Drifting Analog Stick,Heavy Weight Ballast Block,2023-11-25,Component Cleaned & Re-calibrated,248.09
CUST-26539,SKU-APP-MBA-M2,Thermal Throttling / Overheating,Magic Keyboard,2022-08-05,Screen Assembly Swapped,320.09
CUST-92211,SKU-APP-IP14P-256,Screen Flicker / Dead Pixels,Titanium Frame,2023-03-22,Claim Rejected - User Damage,78.1
CUST-82923,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,200MP Camera Sensor,2022-03-10,Refurbished Board Soldered,45.8
CUST-11620,SKU-LG-OLED65-C3,Camera Sensor Artifacts,Magical Remote Sensor,2023-06-17,Refurbished Board Soldered,227.96
CUST-29424,SKU-CAN-EOS-R6M2,Drifting Analog Stick,Magnesium Alloy Frame,2022-04-26,Unit Replaced Under Warranty,235.95
CUST-23237,SKU-CAN-EOS-R6M2,Water Seal Compromise,Magnesium Alloy Frame,2022-04-19,Battery Replacement,311.41
CUST-73646,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,Carbon Fiber Palmrest,2022-09-28,Unit Replaced Under Warranty,268.23
CUST-28855,SKU-CAN-EOS-R6M2,Physical Port Corruption,Magnesium Alloy Frame,2022-06-26,Battery Replacement,165.19
CUST-53449,SKU-CAN-EOS-R6M2,Wireless Connectivity Loss,Magnesium Alloy Frame,2023-02-10,Battery Replacement,477.79
CUST-49722,SKU-SON-WH1000-M5,Physical Port Corruption,30mm Driver Units,2023-01-17,Refurbished Board Soldered,25.83
CUST-39878,SKU-DEL-XPS15-9530,Physical Port Corruption,4K OLED Touch Display,2023-12-03,Claim Rejected - User Damage,87.37
CUST-89295,SKU-SAM-GS23U-512,Physical Port Corruption,5000mAh Battery,2022-10-03,Refurbished Board Soldered,199.18
CUST-77698,SKU-APP-MBA-M2,Physical Port Corruption,Liquid Retina Panel,2023-02-21,Screen Assembly Swapped,295.44
CUST-76426,SKU-DYS-V15-DETECT,Drifting Analog Stick,Hyperdymium Motor,2022-03-09,Screen Assembly Swapped,56.42
CUST-36309,SKU-LG-OLED65-C3,Drifting Analog Stick,alpha9 AI Processor Gen6 Board,2022-01-30,Component Cleaned & Re-calibrated,101.97
CUST-36097,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,OLED Display Assembly,2022-02-21,Unit Replaced Under Warranty,266.44
CUST-26236,SKU-DEL-XPS15-9530,Physical Port Corruption,4K OLED Touch Display,2023-02-11,Component Cleaned & Re-calibrated,428.49
CUST-72204,SKU-APP-IP14P-256,Camera Sensor Artifacts,OLED Display Assembly,2023-09-01,Unit Replaced Under Warranty,142.33
CUST-43903,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,Magnesium Alloy Frame,2022-06-17,Refurbished Board Soldered,451.37
CUST-85007,SKU-APP-MBA-M2,Battery Drain / Rapid Discharge,52.6Wh Battery,2022-02-20,Unit Replaced Under Warranty,84.46
CUST-63674,SKU-SON-WH1000-M5,Logic Board Power Failure,Dual Noise Canceling Chips,2022-07-31,Claim Rejected - User Damage,36.03
CUST-88792,SKU-BOS-WASH-SER8,Battery Drain / Rapid Discharge,EcoSilence Drive Motor,2022-05-16,Unit Replaced Under Warranty,171.95
CUST-94245,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,OLED Display Assembly,2022-11-09,Component Cleaned & Re-calibrated,212.45
CUST-71171,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,86Wh Battery Module,2023-04-16,Refurbished Board Soldered,185.02
CUST-77045,SKU-DEL-XPS15-9530,Water Seal Compromise,Carbon Fiber Palmrest,2023-08-22,Unit Replaced Under Warranty,89.97
CUST-24169,SKU-DYS-V15-DETECT,Water Seal Compromise,Cyclonic Dust Bin,2022-10-17,Component Cleaned & Re-calibrated,55.15
CUST-46291,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,7-inch OLED Display,2023-10-18,Refurbished Board Soldered,44.18
CUST-17441,SKU-DEL-XPS15-9530,Logic Board Power Failure,4K OLED Touch Display,2023-06-14,Screen Assembly Swapped,511.08
CUST-95904,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,EVF Display Module,2022-05-24,Claim Rejected - User Damage,392.13
CUST-14629,SKU-NIN-SWITCH-OLED,Noisy Motor / Bearing Friction,Joy-Con Rail Controls,2023-02-19,Unit Replaced Under Warranty,47.91
CUST-80075,SKU-CAN-EOS-R6M2,Logic Board Power Failure,Magnesium Alloy Frame,2024-01-01,Refurbished Board Soldered,138.18
CUST-83170,SKU-NIN-SWITCH-OLED,Drifting Analog Stick,Joy-Con Rail Controls,2022-06-24,Refurbished Board Soldered,74.6
CUST-83273,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,5000mAh Battery,2022-05-12,Unit Replaced Under Warranty,202.08
CUST-50250,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,5000mAh Battery,2022-12-30,Screen Assembly Swapped,78.38
CUST-25437,SKU-LG-OLED65-C3,Camera Sensor Artifacts,40W 2.2 Ch Speaker Array,2023-08-23,Refurbished Board Soldered,155.26
CUST-35499,SKU-NIN-SWITCH-OLED,Water Seal Compromise,7-inch OLED Display,2023-09-28,Component Cleaned & Re-calibrated,29.2
CUST-29762,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,EcoSilence Drive Motor,2022-11-02,Component Cleaned & Re-calibrated,118.78
CUST-69974,SKU-SAM-GS23U-512,Camera Sensor Artifacts,Snapdragon 8 Gen 2 Board,2023-08-07,Unit Replaced Under Warranty,238.39
CUST-33176,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,5000mAh Battery,2023-05-15,Battery Replacement,104.5
CUST-32099,SKU-DYS-V15-DETECT,Battery Drain / Rapid Discharge,Hyperdymium Motor,2022-10-08,Unit Replaced Under Warranty,46.15
CUST-93032,SKU-CAN-EOS-R6M2,Physical Port Corruption,DIGIC X Image Processor Board,2022-05-13,Battery Replacement,337.77
CUST-79963,SKU-LG-OLED65-C3,Wireless Connectivity Loss,Power Supply Unit,2023-01-28,Unit Replaced Under Warranty,27.07
CUST-98702,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Soft Fit Leather Earpads,2023-06-28,Refurbished Board Soldered,32.81
CUST-23462,SKU-APP-IP14P-256,Logic Board Power Failure,OLED Display Assembly,2022-12-19,Claim Rejected - User Damage,107.08
CUST-15992,SKU-LG-OLED65-C3,Water Seal Compromise,Magical Remote Sensor,2022-06-21,Refurbished Board Soldered,53.92
CUST-54280,SKU-DEL-XPS15-9530,Physical Port Corruption,4K OLED Touch Display,2023-06-17,Claim Rejected - User Damage,403.69
CUST-31611,SKU-LG-OLED65-C3,Camera Sensor Artifacts,alpha9 AI Processor Gen6 Board,2023-01-03,Unit Replaced Under Warranty,357.3
CUST-12872,SKU-LG-OLED65-C3,Logic Board Power Failure,65-inch Self-lit OLED Panel,2022-05-15,Screen Assembly Swapped,118.56
CUST-14897,SKU-CAN-EOS-R6M2,Thermal Throttling / Overheating,Magnesium Alloy Frame,2023-01-11,Battery Replacement,386.96
CUST-16286,SKU-LG-OLED65-C3,Drifting Analog Stick,40W 2.2 Ch Speaker Array,2022-02-19,Component Cleaned & Re-calibrated,288.11
CUST-59840,SKU-APP-MBA-M2,Battery Drain / Rapid Discharge,M2 SoC Logic Board,2022-04-29,Claim Rejected - User Damage,177.12
CUST-99881,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,MagSafe 3 Connector,2023-12-20,Unit Replaced Under Warranty,80.89
CUST-45386,SKU-APP-IP14P-256,Wireless Connectivity Loss,A16 Bionic Logic Board,2022-04-14,Claim Rejected - User Damage,199.23
CUST-90962,SKU-CAN-EOS-R6M2,Thermal Throttling / Overheating,Magnesium Alloy Frame,2022-04-18,Unit Replaced Under Warranty,285.4
CUST-36181,SKU-APP-MBA-M2,Screen Flicker / Dead Pixels,52.6Wh Battery,2023-05-25,Battery Replacement,97.51
CUST-31020,SKU-DEL-XPS15-9530,Logic Board Power Failure,Carbon Fiber Palmrest,2023-12-22,Refurbished Board Soldered,285.2
CUST-53332,SKU-APP-IP14P-256,Physical Port Corruption,Triple Camera Module,2023-12-06,Screen Assembly Swapped,270.41
CUST-85255,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,30mm Driver Units,2022-04-02,Claim Rejected - User Damage,62.18
CUST-23276,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Tegra X1 System Board,2022-03-18,Component Cleaned & Re-calibrated,67.69
CUST-23082,SKU-DEL-XPS15-9530,Physical Port Corruption,NVIDIA RTX 4070 GPU,2022-09-28,Refurbished Board Soldered,319.82
CUST-25191,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Dynamic AMOLED 2X Screen,2023-11-25,Refurbished Board Soldered,99.74
CUST-53078,SKU-APP-MBA-M2,Battery Drain / Rapid Discharge,M2 SoC Logic Board,2023-11-11,Screen Assembly Swapped,261.23
CUST-54921,SKU-DYS-V15-DETECT,Water Seal Compromise,7-cell Click-in Battery,2022-04-06,Refurbished Board Soldered,62.63
CUST-60556,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Dynamic AMOLED 2X Screen,2023-04-13,Unit Replaced Under Warranty,89.97
CUST-17686,SKU-NIN-SWITCH-OLED,Thermal Throttling / Overheating,4310mAh Battery,2022-05-16,Battery Replacement,66.07
CUST-98918,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Dynamic AMOLED 2X Screen,2023-05-10,Component Cleaned & Re-calibrated,216.74
CUST-99714,SKU-NIN-SWITCH-OLED,Water Seal Compromise,Tegra X1 System Board,2023-01-03,Unit Replaced Under Warranty,61.07
CUST-18301,SKU-SAM-GS23U-512,Physical Port Corruption,S-Pen Digitizer,2023-02-26,Battery Replacement,130.32
CUST-85582,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,4K OLED Touch Display,2023-11-26,Claim Rejected - User Damage,358.26
CUST-91033,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,DIGIC X Image Processor Board,2023-06-20,Component Cleaned & Re-calibrated,375.31
CUST-94070,SKU-APP-MBA-M2,Logic Board Power Failure,Magic Keyboard,2022-12-21,Unit Replaced Under Warranty,267.25
CUST-30568,SKU-LG-OLED65-C3,Drifting Analog Stick,alpha9 AI Processor Gen6 Board,2022-02-25,Component Cleaned & Re-calibrated,30.16
CUST-52026,SKU-BOS-WASH-SER8,Physical Port Corruption,Digital Touch Control Board,2022-03-18,Screen Assembly Swapped,195.57
CUST-94320,SKU-SON-WH1000-M5,Noisy Motor / Bearing Friction,Soft Fit Leather Earpads,2023-06-04,Battery Replacement,34.13
CUST-85108,SKU-LG-OLED65-C3,Logic Board Power Failure,Power Supply Unit,2023-04-16,Battery Replacement,221.78
CUST-75191,SKU-NIN-SWITCH-OLED,Physical Port Corruption,7-inch OLED Display,2022-11-20,Unit Replaced Under Warranty,32.0
CUST-10022,SKU-APP-IP14P-256,Wireless Connectivity Loss,Lithium-Ion Battery,2022-02-06,Unit Replaced Under Warranty,171.53
CUST-83706,SKU-APP-MBA-M2,Water Seal Compromise,MagSafe 3 Connector,2022-11-08,Claim Rejected - User Damage,349.89
CUST-69566,SKU-SON-WH1000-M5,Camera Sensor Artifacts,30-hour Battery,2022-02-25,Refurbished Board Soldered,58.48
CUST-57617,SKU-DYS-V15-DETECT,Water Seal Compromise,Cyclonic Dust Bin,2023-04-30,Component Cleaned & Re-calibrated,97.38
CUST-56548,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,7-inch OLED Display,2022-08-16,Claim Rejected - User Damage,25.13
CUST-31516,SKU-DEL-XPS15-9530,Drifting Analog Stick,Carbon Fiber Palmrest,2023-12-20,Refurbished Board Soldered,92.51
CUST-34581,SKU-NIN-SWITCH-OLED,Wireless Connectivity Loss,Tegra X1 System Board,2022-09-18,Battery Replacement,61.04
CUST-24125,SKU-APP-MBA-M2,Logic Board Power Failure,Magic Keyboard,2022-07-15,Unit Replaced Under Warranty,286.63
CUST-87242,SKU-LG-OLED65-C3,Water Seal Compromise,65-inch Self-lit OLED Panel,2023-04-07,Battery Replacement,227.62
CUST-82512,SKU-BOS-WASH-SER8,Physical Port Corruption,VarioDrum Stainless Tub,2023-06-28,Battery Replacement,192.12
CUST-32760,SKU-LG-OLED65-C3,Physical Port Corruption,Magical Remote Sensor,2022-07-01,Component Cleaned & Re-calibrated,331.48
CUST-52184,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Dynamic AMOLED 2X Screen,2023-09-07,Claim Rejected - User Damage,169.87
CUST-45860,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,Digital Touch Control Board,2023-12-11,Component Cleaned & Re-calibrated,198.06
CUST-88974,SKU-LG-OLED65-C3,Noisy Motor / Bearing Friction,40W 2.2 Ch Speaker Array,2022-05-17,Unit Replaced Under Warranty,86.21
CUST-82559,SKU-BOS-WASH-SER8,Drifting Analog Stick,AquaStop Safety Valve,2023-12-30,Refurbished Board Soldered,192.26
CUST-98129,SKU-SON-WH1000-M5,Logic Board Power Failure,Dual Noise Canceling Chips,2022-10-25,Component Cleaned & Re-calibrated,53.15
CUST-25126,SKU-SAM-GS23U-512,Drifting Analog Stick,Snapdragon 8 Gen 2 Board,2023-12-12,Component Cleaned & Re-calibrated,177.21
CUST-64719,SKU-DYS-V15-DETECT,Physical Port Corruption,Cyclonic Dust Bin,2023-08-08,Component Cleaned & Re-calibrated,120.21
CUST-59921,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,AquaStop Safety Valve,2023-06-20,Battery Replacement,49.17
CUST-31094,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,Dynamic AMOLED 2X Screen,2022-10-01,Screen Assembly Swapped,204.29
CUST-36738,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,4K OLED Touch Display,2023-12-09,Battery Replacement,523.07
CUST-98542,SKU-BOS-WASH-SER8,Camera Sensor Artifacts,EcoSilence Drive Motor,2022-04-15,Unit Replaced Under Warranty,164.86
CUST-47701,SKU-BOS-WASH-SER8,Drifting Analog Stick,VarioDrum Stainless Tub,2022-09-01,Unit Replaced Under Warranty,140.98
CUST-82368,SKU-APP-IP14P-256,Wireless Connectivity Loss,Titanium Frame,2023-12-03,Unit Replaced Under Warranty,107.23
CUST-68073,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,Lithium-Ion Battery,2023-09-28,Screen Assembly Swapped,253.51
CUST-35362,SKU-SON-WH1000-M5,Water Seal Compromise,Soft Fit Leather Earpads,2023-09-10,Component Cleaned & Re-calibrated,33.06
CUST-32779,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,86Wh Battery Module,2022-03-18,Claim Rejected - User Damage,143.73
CUST-44634,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,EcoSilence Drive Motor,2023-03-15,Battery Replacement,88.36
CUST-30290,SKU-SAM-GS23U-512,Water Seal Compromise,Snapdragon 8 Gen 2 Board,2022-01-06,Refurbished Board Soldered,104.0
CUST-91968,SKU-APP-IP14P-256,Camera Sensor Artifacts,OLED Display Assembly,2022-02-22,Component Cleaned & Re-calibrated,228.47
CUST-51662,SKU-CAN-EOS-R6M2,Physical Port Corruption,5-axis In-Body Stabilizer,2023-07-18,Component Cleaned & Re-calibrated,207.27
CUST-30889,SKU-BOS-WASH-SER8,Thermal Throttling / Overheating,VarioDrum Stainless Tub,2022-03-11,Component Cleaned & Re-calibrated,203.48
